OrderID,OrderDate,CustomerID,CustomerName,Gender,Age,City,Region,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,GrossSales,DiscountAmount,Sales,Cost,Profit,PaymentMethod,OrderStatus
ORD000014,2024-03-16,CUST01370,Alexander Alvarado,Male,39,Quetta,Balochistan,P017,Office Chair,Furniture,3,32000,0.0,96000,0.0,96000.0,66000,30000.0,Bank Transfer,Returned
ORD000015,2024-11-24,CUST01252,Christian Smith,Male,44,Lahore,Balochistan,P001,Laptop,Electronics,3,120000,0.0,360000,0.0,360000.0,285000,75000.0,Debit Card,Completed
ORD000016,2025-02-19,CUST00699,Kaitlyn Hernandez,Male,19,Karachi,KPK,P016,Vacuum Cleaner,Home Appliances,1,28000,0.15,28000,4200.0,23800.0,19000,4800.0,Cash,Completed
ORD000017,2024-07-21,CUST02728,Michael Richardson,Male,26,Faisalabad,Punjab,P020,Bookshelf,Furniture,3,18000,0.1,54000,5400.0,48600.0,36000,12600.0,Cash,Completed
ORD000018,2024-08-16,CUST02251,Christina Smith,Male,41,Quetta,Sindh,P017,Office Chair,Furniture,2,32000,0.05,64000,3200.0,60800.0,44000,16800.0,Credit Card,Completed
ORD000019,2024-05-31,CUST02494,Laura Berry,Male,27,Peshawar,KPK,P004,Smart Watch,Electronics,3,18000,0.0,54000,0.0,54000.0,36000,18000.0,Bank Transfer,Completed
ORD000020,2024-03-12,CUST00132,Kathy Ford,Male,57,Islamabad,KPK,P013,Coffee Maker,Home Appliances,1,15000,0.0,15000,0.0,15000.0,10000,5000.0,Bank Transfer,Completed
ORD000021,2024-08-12,CUST00091,Erica Vasquez,Male,37,Karachi,KPK,P008,USB Cable,Accessories,1,1200,0.05,1200,60.0,1140.0,600,540.0,Bank Transfer,Completed
ORD000022,2025-04-17,CUST03895,Karen Medina,Female,27,Multan,Sindh,P018,Desk,Furniture,4,25000,0.1,100000,10000.0,90000.0,68000,22000.0,Bank Transfer,Cancelled
ORD000023,2025-10-04,CUST03198,Matthew Villanueva,Female,51,Islamabad,Punjab,P013,Coffee Maker,Home Appliances,4,15000,0.2,60000,12000.0,48000.0,40000,8000.0,JazzCash,Completed
ORD000024,2024-12-25,CUST00472,Erica Hamilton,Female,52,Karachi,Punjab,P009,Backpack,Fashion,2,5500,0.1,11000,1100.0,9900.0,6400,3500.0,Credit Card,Completed
ORD000025,2025-06-23,CUST01266,Jonathan Martin,Male,50,Faisalabad,Punjab,P005,Keyboard,Accessories,5,4500,0.0,22500,0.0,22500.0,14000,8500.0,Debit Card,Completed
ORD000026,2025-08-31,CUST04598,Michael Fletcher,Male,19,Islamabad,Balochistan,P011,T-Shirt,Fashion,4,2500,0.0,10000,0.0,10000.0,5600,4400.0,Bank Transfer,Completed
ORD000027,2024-02-15,CUST02809,Richard Baker,Male,51,Islamabad,Sindh,P014,Air Fryer,Home Appliances,3,22000,0.0,66000,0.0,66000.0,45000,21000.0,Credit Card,Cancelled
ORD000028,2024-01-01,CUST04483,Robert Moreno,Female,42,Lahore,Sindh,P018,Desk,Furniture,1,25000,0.1,25000,2500.0,22500.0,17000,5500.0,Credit Card,Completed
ORD000029,2025-11-08,CUST01112,Teresa Clark,Male,22,Karachi,Sindh,P018,Desk,Furniture,4,25000,0.0,100000,0.0,100000.0,68000,32000.0,Cash,Completed
ORD000030,2024-09-01,CUST00598,Gail Watson,Male,60,Multan,Sindh,P020,Bookshelf,Furniture,1,18000,0.05,18000,900.0,17100.0,12000,5100.0,Debit Card,Completed
ORD000031,2024-08-06,CUST00908,Sheryl Roberts,Male,38,Multan,Punjab,P016,Vacuum Cleaner,Home Appliances,3,28000,0.2,84000,16800.0,67200.0,57000,10200.0,Debit Card,Completed
ORD000032,2025-09-05,CUST02915,Connor Burgess,Male,32,Multan,Balochistan,P004,Smart Watch,Electronics,1,18000,0.1,18000,1800.0,16200.0,12000,4200.0,Debit Card,Completed
ORD000033,2024-10-17,CUST03217,Michele Mann,Male,43,Multan,KPK,P019,Table Lamp,Furniture,1,5000,0.1,5000,500.0,4500.0,2800,1700.0,JazzCash,Completed
ORD000034,2025-04-02,CUST01355,Jennifer Smith,Male,22,Faisalabad,Punjab,P005,Keyboard,Accessories,4,4500,0.1,18000,1800.0,16200.0,11200,5000.0,Bank Transfer,Completed
ORD000035,2024-07-22,CUST03947,Stephanie Waters,Female,53,Quetta,KPK,P002,Smartphone,Electronics,1,85000,0.1,85000,8500.0,76500.0,65000,11500.0,Bank Transfer,Completed
ORD000036,2024-07-20,CUST03236,Miss Kimberly Moore,Male,64,Faisalabad,Islamabad,P017,Office Chair,Furniture,3,32000,0.0,96000,0.0,96000.0,66000,30000.0,Bank Transfer,Completed
ORD000037,2025-07-19,CUST02705,Kenneth Garcia,Female,29,Peshawar,Punjab,P004,Smart Watch,Electronics,2,18000,0.1,36000,3600.0,32400.0,24000,8400.0,Credit Card,Completed
ORD000038,2025-04-26,CUST02390,Hector Larson,Female,59,Peshawar,Sindh,P006,Mouse,Accessories,1,2500,0.1,2500,250.0,2250.0,1500,750.0,JazzCash,Cancelled
ORD000039,2025-05-25,CUST04076,Teresa Hull,Female,63,Karachi,Balochistan,P018,Desk,Furniture,1,25000,0.0,25000,0.0,25000.0,17000,8000.0,Debit Card,Completed
ORD000040,2024-10-04,CUST03651,Jennifer Wilkins,Female,63,Multan,Punjab,P006,Mouse,Accessories,3,2500,0.2,7500,1500.0,6000.0,4500,1500.0,Cash,Completed
ORD000041,2024-01-16,CUST00464,Dr. Sydney Thompson MD,Female,46,Quetta,Sindh,P020,Bookshelf,Furniture,5,18000,0.2,90000,18000.0,72000.0,60000,12000.0,Debit Card,Completed
ORD000042,2025-06-08,CUST03939,Dawn Colon,Male,30,Lahore,Sindh,P015,Blender,Home Appliances,3,12000,0.05,36000,1800.0,34200.0,24000,10200.0,Credit Card,Completed
ORD000043,2024-12-21,CUST01073,Jessica Reynolds,Male,39,Peshawar,Punjab,P001,Laptop,Electronics,4,120000,0.1,480000,48000.0,432000.0,380000,52000.0,Bank Transfer,Completed
ORD000044,2024-12-21,CUST00474,Kimberly Thomas,Female,57,Quetta,Islamabad,P017,Office Chair,Furniture,4,32000,0.1,128000,12800.0,115200.0,88000,27200.0,Cash,Completed
ORD000045,2025-08-21,CUST04984,Charles Brown,Female,55,Peshawar,KPK,P002,Smartphone,Electronics,2,85000,0.05,170000,8500.0,161500.0,130000,31500.0,Credit Card,Completed
ORD000046,2024-03-18,CUST00939,Alyssa Spears,Male,50,Peshawar,Sindh,P004,Smart Watch,Electronics,1,18000,0.0,18000,0.0,18000.0,12000,6000.0,Cash,Completed
ORD000047,2024-03-07,CUST01311,Jessica Jenkins,Male,27,Quetta,Sindh,P003,Headphones,Electronics,2,8500,0.05,17000,850.0,16150.0,10000,6150.0,JazzCash,Cancelled
ORD000048,2025-12-23,CUST02341,Carol Garcia,Female,22,Lahore,Sindh,P003,Headphones,Electronics,2,8500,0.1,17000,1700.0,15300.0,10000,5300.0,Cash,Returned
ORD000049,2024-08-01,CUST03521,Renee Ferrell,Male,39,Multan,Balochistan,P014,Air Fryer,Home Appliances,1,22000,0.2,22000,4400.0,17600.0,15000,2600.0,Cash,Returned
ORD000050,2025-11-27,CUST04057,Candace Fisher,Female,43,Peshawar,Islamabad,P020,Bookshelf,Furniture,1,18000,0.1,18000,1800.0,16200.0,12000,4200.0,Credit Card,Completed
ORD000051,2025-03-24,CUST01087,Robert Peterson,Female,26,Quetta,KPK,P008,USB Cable,Accessories,3,1200,0.1,3600,360.0,3240.0,1800,1440.0,Cash,Completed
ORD000052,2025-03-08,CUST04664,Matthew Cook,Female,46,Islamabad,KPK,P008,USB Cable,Accessories,2,1200,0.15,2400,360.0,2040.0,1200,840.0,Credit Card,Completed
ORD000053,2025-06-28,CUST03530,Amber Davis,Male,28,Multan,Balochistan,P009,Backpack,Fashion,2,5500,0.1,11000,1100.0,9900.0,6400,3500.0,Bank Transfer,Completed
ORD000054,2024-04-24,CUST04970,Jonathan Duncan,Male,45,Quetta,Balochistan,P018,Desk,Furniture,4,25000,0.1,100000,10000.0,90000.0,68000,22000.0,Credit Card,Completed
ORD000055,2025-02-23,CUST00260,Jessica Johnson,Male,45,Lahore,KPK,P007,Monitor,Electronics,2,45000,0.05,90000,4500.0,85500.0,64000,21500.0,Bank Transfer,Completed
ORD000056,2025-05-13,CUST01657,Christopher Wall,Female,54,Islamabad,Sindh,P010,Shoes,Fashion,3,9000,0.0,27000,0.0,27000.0,16500,10500.0,JazzCash,Completed
ORD000057,2025-12-10,CUST02956,Jessica Stone,Female,64,Peshawar,Sindh,P001,Laptop,Electronics,5,120000,0.05,600000,30000.0,570000.0,475000,95000.0,Debit Card,Completed
ORD000058,2025-01-14,CUST04280,Robert Coffey,Male,29,Islamabad,KPK,P004,Smart Watch,Electronics,2,18000,0.0,36000,0.0,36000.0,24000,12000.0,Bank Transfer,Returned
ORD000059,2024-05-22,CUST03120,Erica Clarke,Male,27,Multan,Punjab,P020,Bookshelf,Furniture,3,18000,0.15,54000,8100.0,45900.0,36000,9900.0,JazzCash,Completed
ORD000060,2025-09-23,CUST00592,Sheri Davis,Female,56,Rawalpindi,KPK,P004,Smart Watch,Electronics,3,18000,0.0,54000,0.0,54000.0,36000,18000.0,Bank Transfer,Completed
ORD000061,2024-01-24,CUST01433,Terri Phillips,Male,48,Faisalabad,Balochistan,P014,Air Fryer,Home Appliances,5,22000,0.05,110000,5500.0,104500.0,75000,29500.0,Cash,Completed
ORD000062,2025-06-22,CUST02488,Karen Mcclain MD,Female,56,Quetta,Islamabad,P005,Keyboard,Accessories,3,4500,0.1,13500,1350.0,12150.0,8400,3750.0,Debit Card,Completed
ORD000063,2024-03-15,CUST00229,Greg Jackson,Female,38,Multan,Punjab,P005,Keyboard,Accessories,4,4500,0.05,18000,900.0,17100.0,11200,5900.0,JazzCash,Completed
ORD000064,2025-06-18,CUST02780,Susan Mcintosh,Male,49,Islamabad,Balochistan,P019,Table Lamp,Furniture,5,5000,0.0,25000,0.0,25000.0,14000,11000.0,JazzCash,Completed
ORD000065,2025-11-03,CUST01369,Anthony Berger,Male,52,Quetta,Islamabad,P005,Keyboard,Accessories,4,4500,0.2,18000,3600.0,14400.0,11200,3200.0,Cash,Completed
ORD000066,2024-02-10,CUST01625,Diana Diaz,Male,62,Islamabad,Sindh,P011,T-Shirt,Fashion,2,2500,0.15,5000,750.0,4250.0,2800,1450.0,Bank Transfer,Pending
ORD000067,2025-07-21,CUST03980,Valerie Hawkins,Male,20,Quetta,Sindh,P002,Smartphone,Electronics,2,85000,0.0,170000,0.0,170000.0,130000,40000.0,JazzCash,Completed
ORD000068,2025-02-16,CUST00740,Maria Dixon,Male,19,Multan,Islamabad,P015,Blender,Home Appliances,3,12000,0.05,36000,1800.0,34200.0,24000,10200.0,Bank Transfer,Completed
ORD000069,2025-02-18,CUST03175,James Blake,Male,52,Quetta,Sindh,P014,Air Fryer,Home Appliances,3,22000,0.0,66000,0.0,66000.0,45000,21000.0,Bank Transfer,Completed
ORD000070,2025-03-24,CUST02648,April Johnson,Male,22,Quetta,KPK,P014,Air Fryer,Home Appliances,5,22000,0.05,110000,5500.0,104500.0,75000,29500.0,Cash,Completed
ORD000071,2025-09-01,CUST02071,Jason Curry,Female,55,Rawalpindi,Punjab,P008,USB Cable,Accessories,2,1200,0.0,2400,0.0,2400.0,1200,1200.0,Bank Transfer,Completed
ORD000072,2025-10-19,CUST04572,Lisa Burns,Female,20,Faisalabad,Balochistan,P020,Bookshelf,Furniture,1,18000,0.0,18000,0.0,18000.0,12000,6000.0,Debit Card,Completed
ORD000073,2025-03-11,CUST04994,David Torres,Female,46,Karachi,KPK,P008,USB Cable,Accessories,3,1200,0.05,3600,180.0,3420.0,1800,1620.0,Cash,Completed
ORD000074,2025-07-05,CUST02035,Kim Greer,Female,22,Islamabad,Balochistan,P005,Keyboard,Accessories,5,4500,0.0,22500,0.0,22500.0,14000,8500.0,Cash,Completed
ORD000075,2025-12-05,CUST04381,Barbara Garrett,Male,21,Rawalpindi,KPK,P005,Keyboard,Accessories,3,4500,0.15,13500,2025.0,11475.0,8400,3075.0,Credit Card,Completed
ORD000076,2024-08-26,CUST01186,Paula Mcintyre,Female,56,Rawalpindi,Islamabad,P014,Air Fryer,Home Appliances,5,22000,0.05,110000,5500.0,104500.0,75000,29500.0,Debit Card,Completed
ORD000077,2024-02-11,CUST00590,Lindsay Taylor,Male,47,Karachi,Balochistan,P005,Keyboard,Accessories,2,4500,0.15,9000,1350.0,7650.0,5600,2050.0,JazzCash,Completed
ORD000078,2025-12-08,CUST04218,Diane Bailey,Male,60,Multan,Punjab,P009,Backpack,Fashion,3,5500,0.0,16500,0.0,16500.0,9600,6900.0,Bank Transfer,Completed
ORD000079,2024-01-10,CUST01136,Pamela Berry,Male,46,Rawalpindi,Balochistan,P011,T-Shirt,Fashion,3,2500,0.1,7500,750.0,6750.0,4200,2550.0,Bank Transfer,Completed
ORD000080,2024-09-21,CUST03421,Carlos Ward,Female,55,Quetta,Islamabad,P017,Office Chair,Furniture,1,32000,0.15,32000,4800.0,27200.0,22000,5200.0,Cash,Completed
ORD000081,2025-08-03,CUST02559,Benjamin Ford,Male,41,Islamabad,Islamabad,P012,Jeans,Fashion,2,4500,0.2,9000,1800.0,7200.0,5400,1800.0,Bank Transfer,Completed
ORD000082,2025-03-20,CUST00002,Todd Johnson,Female,24,Islamabad,Islamabad,P012,Jeans,Fashion,5,4500,0.0,22500,0.0,22500.0,13500,9000.0,Debit Card,Completed
ORD000083,2024-05-18,CUST00892,Henry Ortiz,Female,33,Multan,KPK,P016,Vacuum Cleaner,Home Appliances,1,28000,0.05,28000,1400.0,26600.0,19000,7600.0,JazzCash,Completed
ORD000084,2025-12-31,CUST04895,Gina Martin,Male,38,Karachi,KPK,P001,Laptop,Electronics,5,120000,0.1,600000,60000.0,540000.0,475000,65000.0,Bank Transfer,Completed
ORD000085,2024-07-14,CUST04725,Roy Harvey,Male,54,Multan,KPK,P018,Desk,Furniture,3,25000,0.05,75000,3750.0,71250.0,51000,20250.0,Cash,Completed
ORD000086,2024-03-14,CUST04557,Peggy Ramirez,Female,50,Karachi,Islamabad,P006,Mouse,Accessories,4,2500,0.15,10000,1500.0,8500.0,6000,2500.0,Debit Card,Completed
ORD000087,2025-09-06,CUST03000,Christine Irwin,Female,21,Multan,Islamabad,P005,Keyboard,Accessories,3,4500,0.2,13500,2700.0,10800.0,8400,2400.0,JazzCash,Completed
ORD000088,2024-08-12,CUST03554,Kelly Reyes,Male,20,Islamabad,Sindh,P018,Desk,Furniture,2,25000,0.1,50000,5000.0,45000.0,34000,11000.0,Debit Card,Completed
ORD000089,2025-09-26,CUST03658,Alicia Moore,Male,48,Quetta,Islamabad,P013,Coffee Maker,Home Appliances,5,15000,0.1,75000,7500.0,67500.0,50000,17500.0,Debit Card,Completed
ORD000090,2024-04-11,CUST00972,Jeffrey Flores,Female,19,Rawalpindi,KPK,P006,Mouse,Accessories,1,2500,0.05,2500,125.0,2375.0,1500,875.0,Debit Card,Completed
ORD000091,2024-09-20,CUST04150,Hayden Shaw,Female,48,Faisalabad,Punjab,P007,Monitor,Electronics,3,45000,0.05,135000,6750.0,128250.0,96000,32250.0,Bank Transfer,Cancelled
ORD000092,2024-06-09,CUST03743,Crystal Cantrell,Female,54,Lahore,KPK,P003,Headphones,Electronics,5,8500,0.15,42500,6375.0,36125.0,25000,11125.0,Debit Card,Pending
ORD000093,2024-08-20,CUST04205,Andrea Hall,Male,33,Lahore,Islamabad,P011,T-Shirt,Fashion,1,2500,0.0,2500,0.0,2500.0,1400,1100.0,Bank Transfer,Completed
ORD000094,2025-05-05,CUST00280,Roberto Burgess,Female,24,Faisalabad,KPK,P008,USB Cable,Accessories,3,1200,0.15,3600,540.0,3060.0,1800,1260.0,Debit Card,Pending
ORD000095,2024-11-06,CUST01699,Erica Jordan,Female,39,Karachi,Islamabad,P004,Smart Watch,Electronics,4,18000,0.15,72000,10800.0,61200.0,48000,13200.0,JazzCash,Completed
ORD000096,2025-10-12,CUST02888,Grant Taylor,Male,64,Rawalpindi,KPK,P010,Shoes,Fashion,4,9000,0.1,36000,3600.0,32400.0,22000,10400.0,Cash,Completed
ORD000097,2024-08-14,CUST02885,Brian Grimes,Male,41,Multan,Islamabad,P009,Backpack,Fashion,3,5500,0.1,16500,1650.0,14850.0,9600,5250.0,Bank Transfer,Completed
ORD000098,2024-09-29,CUST03286,Jay Carter,Male,64,Islamabad,Punjab,P013,Coffee Maker,Home Appliances,2,15000,0.0,30000,0.0,30000.0,20000,10000.0,Cash,Completed
ORD000099,2024-11-12,CUST03580,Karen Hernandez,Male,61,Peshawar,Sindh,P019,Table Lamp,Furniture,4,5000,0.2,20000,4000.0,16000.0,11200,4800.0,JazzCash,Returned
ORD000100,2024-03-26,CUST02252,Gina Montgomery,Female,23,Karachi,Islamabad,P015,Blender,Home Appliances,5,12000,0.05,60000,3000.0,57000.0,40000,17000.0,Cash,Completed
ORD000101,2024-10-17,CUST04641,Miss Heidi Davis,Female,21,Rawalpindi,Sindh,P005,Keyboard,Accessories,2,4500,0.05,9000,450.0,8550.0,5600,2950.0,Debit Card,Cancelled
ORD000102,2025-04-13,CUST02357,Bryce Bernard,Female,34,Multan,KPK,P013,Coffee Maker,Home Appliances,2,15000,0.2,30000,6000.0,24000.0,20000,4000.0,JazzCash,Completed
ORD000103,2025-12-29,CUST04624,Michael Meyers,Female,39,Lahore,Islamabad,P012,Jeans,Fashion,3,4500,0.0,13500,0.0,13500.0,8100,5400.0,Bank Transfer,Completed
ORD000104,2025-07-31,CUST01932,Stephanie Gonzalez,Female,49,Peshawar,Islamabad,P009,Backpack,Fashion,5,5500,0.2,27500,5500.0,22000.0,16000,6000.0,JazzCash,Completed
ORD000105,2025-10-08,CUST03415,April Larson,Female,59,Lahore,Punjab,P008,USB Cable,Accessories,5,1200,0.05,6000,300.0,5700.0,3000,2700.0,Bank Transfer,Completed
ORD000106,2025-02-07,CUST01009,Elizabeth Vaughan,Male,33,Lahore,Punjab,P009,Backpack,Fashion,1,5500,0.0,5500,0.0,5500.0,3200,2300.0,Debit Card,Cancelled
ORD000107,2025-03-02,CUST04713,Desiree Patel,Male,54,Peshawar,Punjab,P013,Coffee Maker,Home Appliances,4,15000,0.05,60000,3000.0,57000.0,40000,17000.0,Credit Card,Completed
ORD000108,2025-01-09,CUST02079,Larry Smith,Female,29,Faisalabad,Sindh,P009,Backpack,Fashion,4,5500,0.1,22000,2200.0,19800.0,12800,7000.0,Debit Card,Completed
ORD000109,2025-07-20,CUST04196,Nicole Martinez,Male,31,Multan,Punjab,P006,Mouse,Accessories,2,2500,0.1,5000,500.0,4500.0,3000,1500.0,Debit Card,Completed
ORD000110,2024-09-08,CUST02715,Kevin Walton,Male,36,Peshawar,Balochistan,P006,Mouse,Accessories,2,2500,0.2,5000,1000.0,4000.0,3000,1000.0,Cash,Completed
ORD000111,2025-06-16,CUST01339,Mr. Shaun Hernandez DVM,Male,52,Peshawar,Balochistan,P011,T-Shirt,Fashion,3,2500,0.05,7500,375.0,7125.0,4200,2925.0,Credit Card,Completed
ORD000112,2024-11-02,CUST04591,Matthew Young,Female,60,Quetta,Balochistan,P010,Shoes,Fashion,5,9000,0.05,45000,2250.0,42750.0,27500,15250.0,JazzCash,Completed
ORD000113,2025-03-05,CUST03690,Darlene Kennedy,Male,50,Lahore,Punjab,P014,Air Fryer,Home Appliances,4,22000,0.0,88000,0.0,88000.0,60000,28000.0,Credit Card,Completed
ORD000114,2025-11-05,CUST00742,Lindsey Lyons,Male,58,Peshawar,Punjab,P006,Mouse,Accessories,1,2500,0.05,2500,125.0,2375.0,1500,875.0,Debit Card,Completed
ORD000115,2024-09-20,CUST00734,Robert Williamson,Male,25,Quetta,KPK,P007,Monitor,Electronics,4,45000,0.15,180000,27000.0,153000.0,128000,25000.0,Cash,Completed
ORD000116,2024-03-08,CUST01807,Sara Young,Female,31,Islamabad,Balochistan,P009,Backpack,Fashion,4,5500,0.0,22000,0.0,22000.0,12800,9200.0,Credit Card,Completed
ORD000117,2024-04-16,CUST02379,Diana Mitchell,Male,39,Quetta,Islamabad,P003,Headphones,Electronics,4,8500,0.0,34000,0.0,34000.0,20000,14000.0,JazzCash,Completed
ORD000118,2025-02-03,CUST03266,Christy Meyer,Male,48,Karachi,Islamabad,P012,Jeans,Fashion,2,4500,0.05,9000,450.0,8550.0,5400,3150.0,Credit Card,Completed
ORD000119,2025-08-01,CUST01754,Jason Rollins,Male,51,Faisalabad,Balochistan,P016,Vacuum Cleaner,Home Appliances,5,28000,0.15,140000,21000.0,119000.0,95000,24000.0,Bank Transfer,Completed
ORD000120,2024-07-17,CUST01025,Gerald Clark,Female,28,Peshawar,Islamabad,P013,Coffee Maker,Home Appliances,5,15000,0.15,75000,11250.0,63750.0,50000,13750.0,Bank Transfer,Completed
ORD000121,2024-07-10,CUST01483,Gregory Barajas,Male,37,Karachi,Sindh,P006,Mouse,Accessories,4,2500,0.0,10000,0.0,10000.0,6000,4000.0,JazzCash,Completed
ORD000122,2025-05-28,CUST02566,Christopher Mendoza,Male,35,Islamabad,Sindh,P013,Coffee Maker,Home Appliances,5,15000,0.1,75000,7500.0,67500.0,50000,17500.0,Credit Card,Completed
ORD000123,2025-03-17,CUST03555,Sandra Wilson,Male,41,Islamabad,Sindh,P005,Keyboard,Accessories,3,4500,0.0,13500,0.0,13500.0,8400,5100.0,Cash,Cancelled
ORD000124,2024-01-01,CUST01780,David Johnson,Female,31,Rawalpindi,Sindh,P004,Smart Watch,Electronics,2,18000,0.15,36000,5400.0,30600.0,24000,6600.0,JazzCash,Returned
ORD000125,2024-12-23,CUST03717,Jeremy Mitchell,Male,26,Karachi,Islamabad,P008,USB Cable,Accessories,2,1200,0.05,2400,120.0,2280.0,1200,1080.0,Debit Card,Completed
ORD000126,2024-04-24,CUST04819,Jeffrey Herman,Female,56,Quetta,Balochistan,P003,Headphones,Electronics,5,8500,0.15,42500,6375.0,36125.0,25000,11125.0,Debit Card,Pending
ORD000127,2025-08-22,CUST02117,Pamela Lynch,Male,33,Rawalpindi,Sindh,P002,Smartphone,Electronics,4,85000,0.0,340000,0.0,340000.0,260000,80000.0,JazzCash,Completed
ORD000128,2024-07-15,CUST04567,Robert Ryan,Male,23,Lahore,KPK,P020,Bookshelf,Furniture,4,18000,0.0,72000,0.0,72000.0,48000,24000.0,Debit Card,Completed
ORD000129,2025-08-26,CUST02540,Brittany Butler,Female,22,Rawalpindi,Punjab,P019,Table Lamp,Furniture,4,5000,0.15,20000,3000.0,17000.0,11200,5800.0,Bank Transfer,Completed
ORD000130,2024-09-30,CUST02966,Belinda Garcia,Female,52,Quetta,Sindh,P007,Monitor,Electronics,5,45000,0.1,225000,22500.0,202500.0,160000,42500.0,Cash,Completed
ORD000131,2024-06-08,CUST02761,Joshua Howard,Male,30,Karachi,Balochistan,P012,Jeans,Fashion,4,4500,0.0,18000,0.0,18000.0,10800,7200.0,Cash,Cancelled
ORD000132,2024-06-21,CUST02455,Allen Cisneros,Female,41,Islamabad,KPK,P004,Smart Watch,Electronics,5,18000,0.15,90000,13500.0,76500.0,60000,16500.0,Cash,Completed
ORD000133,2025-06-28,CUST03755,Victoria Harrison,Male,46,Faisalabad,Punjab,P010,Shoes,Fashion,1,9000,0.15,9000,1350.0,7650.0,5500,2150.0,Credit Card,Completed
ORD000134,2025-04-02,CUST01946,Brandon Blake,Male,38,Karachi,Sindh,P009,Backpack,Fashion,5,5500,0.05,27500,1375.0,26125.0,16000,10125.0,JazzCash,Completed
ORD000135,2025-08-07,CUST03369,Beth May,Male,30,Karachi,Sindh,P012,Jeans,Fashion,3,4500,0.0,13500,0.0,13500.0,8100,5400.0,Debit Card,Completed
ORD000136,2025-03-08,CUST02630,Stacy Williams,Male,38,Quetta,KPK,P011,T-Shirt,Fashion,4,2500,0.05,10000,500.0,9500.0,5600,3900.0,Credit Card,Completed
ORD000137,2025-04-25,CUST00529,Rodney Combs,Male,35,Lahore,Islamabad,P019,Table Lamp,Furniture,4,5000,0.05,20000,1000.0,19000.0,11200,7800.0,Debit Card,Returned
ORD000138,2025-03-30,CUST04233,Christopher Pena MD,Male,49,Lahore,Islamabad,P002,Smartphone,Electronics,2,85000,0.0,170000,0.0,170000.0,130000,40000.0,JazzCash,Completed
ORD000139,2024-07-14,CUST01472,Linda Michael,Female,42,Multan,Punjab,P006,Mouse,Accessories,5,2500,0.15,12500,1875.0,10625.0,7500,3125.0,Debit Card,Completed
ORD000140,2025-08-21,CUST02036,David Johnson,Male,30,Faisalabad,Balochistan,P006,Mouse,Accessories,1,2500,0.15,2500,375.0,2125.0,1500,625.0,Credit Card,Completed
ORD000141,2024-11-04,CUST04035,Jacob Williams,Male,34,Rawalpindi,Sindh,P001,Laptop,Electronics,4,120000,0.0,480000,0.0,480000.0,380000,100000.0,Credit Card,Cancelled
